1,5,2,7,0,9,0,8,0,110
3,8,6,2,0,9,0,7,0,118
2,0,3,5,4,1,6,0,8,92
0,3,4,5,0,6,2,9,8,150
0,4,8,1,7,0,6,0,5,186
1,2,3,7,4,0,0,0,5,164
1,4,0,0,5,6,0,3,9,188
6,0,8,1,7,5,0,9,0,324
0,4,0,1,7,5,6,0,9,22
1,4,6,7,0,8,0,0,9,34
4,9,1,5,0,0,0,6,2,204
2,0,1,6,0,5,0,8,9,215
3,0,2,0,4,5,6,8,9,6
1,3,4,5,6,0,9,0,8,16
7,3,6,8,0,4,0,9,0,234
2,3,4,9,7,0,6,0,0,232
3,6,5,0,2,9,7,8,0,140
0,2,3,5,8,0,6,7,4,190
0,4,3,0,2,8,7,9,0,90
1,2,5,9,0,0,7,8,0,102
2,3,1,4,5,9,0,0,6,94
0,1,4,5,2,7,8,0,6,78
1,0,5,0,4,0,6,8,9,32
0,0,6,5,0,1,7,8,9,52
0,0,0,3,4,5,7,8,9,6
1,2,3,5,0,8,0,0,9,34
3,6,0,7,1,5,8,9,0,150
1,7,2,0,5,0,6,9,8,140
2,0,0,5,7,3,6,0,8,212
1,3,5,0,0,8,6,0,7,208
3,1,7,0,0,9,6,4,0,212
0,0,2,1,8,3,0,4,9,211
2,0,4,0,3,0,6,7,8,22
2,4,5,0,6,0,8,0,9,74
3,0,6,7,0,5,0,8,9,134
0,1,4,6,8,5,0,0,9,136
0,2,3,4,6,0,5,0,7,102
0,0,4,3,8,0,2,6,9,110
5,0,0,4,8,9,1,0,6,241
1,3,8,5,0,0,6,0,4,231
1,3,8,0,2,0,4,0,5,107
2,0,4,0,3,9,7,0,8,133
2,5,8,3,7,1,0,0,9,232
1,8,2,9,5,4,6,0,0,220
1,0,2,0,0,4,7,5,8,142
0,8,3,0,2,0,1,4,9,177
7,0,0,1,2,4,9,5,0,178
1,4,0,6,0,2,8,0,9,186
0,5,3,4,8,6,7,0,9,26
1,2,3,4,5,6,8,0,0,16
7,5,0,0,2,0,4,6,8,222
0,7,4,6,2,0,5,0,3,194
2,1,0,5,3,9,6,8,0,112
1,2,4,9,0,6,0,7,5,192
2,0,4,5,3,0,7,6,0,101
0,2,0,1,6,5,8,9,0,149
3,1,5,0,8,4,6,0,9,58
1,3,0,4,2,6,7,5,0,38
6,9,5,1,0,0,7,0,3,259
0,5,0,3,0,6,2,4,9,246
1,3,5,8,0,9,0,7,0,221
9,1,5,0,4,0,0,6,8,264
0,7,3,0,4,1,5,9,0,112
9,5,0,3,0,8,2,0,7,200
1,2,0,5,4,8,0,7,0,58
1,2,4,8,0,7,0,5,0,108
3,0,2,1,0,0,4,6,7,98
1,2,4,7,9,0,8,0,0,146
0,0,5,1,3,6,7,0,9,156
1,6,3,0,5,7,0,0,4,202
2,0,3,0,8,5,6,9,0,224
