3,4,0,7,6,8,0,11,12,13,9,1,17,0,0,15,16,0,18,19,20,21,22,23,24,112
0,2,4,5,6,1,8,9,11,12,7,0,14,17,19,13,16,0,24,25,20,0,22,0,21,193
0,9,10,2,0,3,5,7,0,15,8,4,18,12,20,21,16,17,19,0,0,22,23,24,25,188
0,0,0,1,6,2,3,4,5,0,7,8,10,11,12,13,16,18,19,20,21,22,23,24,25,7
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,19,22,0,24,17,0,0,23,40
5,1,2,3,0,0,10,6,7,8,4,9,11,12,13,14,16,17,18,19,20,21,22,24,25,39
1,2,3,4,5,6,7,0,9,10,11,14,8,16,0,18,19,15,22,17,23,24,20,25,21,149
5,0,1,2,9,3,6,13,7,0,10,12,14,19,15,16,17,18,24,20,21,22,23,0,25,98
1,2,0,4,6,7,8,9,5,10,12,13,15,16,11,18,19,22,23,0,24,25,20,17,0,146
0,2,0,0,0,1,3,4,6,0,7,8,9,10,13,14,15,16,17,18,19,20,22,24,25,15
1,2,4,7,8,9,10,11,12,13,14,15,16,17,0,20,0,0,0,19,21,0,23,24,25,133
0,0,3,5,2,1,9,16,0,7,10,11,23,12,13,0,15,0,17,18,14,21,22,24,25,192
3,0,5,6,7,0,4,11,13,0,8,9,12,2,0,15,16,17,18,19,20,21,23,24,25,88
1,2,3,4,5,6,0,8,9,10,11,7,20,15,17,18,12,0,16,22,23,0,19,0,21,150
0,3,2,5,6,8,10,9,4,0,15,0,11,12,20,21,16,18,19,25,0,0,22,23,24,243
5,6,2,3,4,10,7,12,8,9,15,11,13,18,14,0,16,17,23,19,20,21,0,22,25,131
1,2,3,4,5,6,8,9,10,11,18,12,13,20,16,23,19,17,0,0,24,25,14,21,22,293
0,0,1,0,2,3,4,5,7,8,9,10,11,12,13,14,17,18,19,20,21,22,23,24,25,1
1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,0,20,21,22,25,19,0,0,19
0,7,2,6,3,1,4,5,12,8,9,10,11,13,19,15,16,17,0,18,20,21,22,23,24,113
1,2,3,4,5,0,12,7,8,10,6,11,15,9,16,17,18,14,21,0,22,23,25,19,20,181
4,5,6,0,2,11,13,18,8,0,10,12,17,9,1,15,21,16,19,14,20,0,22,23,24,266
0,0,0,3,0,0,1,4,6,5,8,9,11,12,13,14,15,17,18,19,20,21,22,23,25,31
1,4,5,7,8,10,11,12,13,14,16,17,18,19,20,21,22,0,25,24,0,23,0,0,0,143
0,0,6,7,1,2,3,5,14,0,8,9,11,12,0,15,17,18,19,20,21,22,23,24,25,54
1,2,4,6,7,8,10,11,12,14,15,16,17,18,19,20,0,23,24,0,25,21,22,0,0,90
4,5,7,8,0,6,10,15,16,13,9,0,11,12,0,0,20,22,17,18,14,0,21,24,25,286
3,6,9,15,12,2,0,0,0,4,1,8,0,16,11,7,13,14,0,17,18,19,21,23,24,203
7,0,5,3,14,11,1,9,4,20,12,8,13,15,10,16,17,18,0,19,21,22,23,24,25,269
0,2,7,5,11,0,1,4,16,10,12,13,3,9,17,18,8,19,15,21,23,24,20,25,22,280
2,0,9,0,4,1,0,7,10,5,12,3,6,11,0,13,15,0,16,18,20,22,23,24,25,123
2,3,4,5,6,9,10,11,13,14,16,17,23,0,18,15,0,0,24,19,20,0,22,25,0,222
6,7,2,4,9,12,0,13,14,8,5,10,11,18,0,15,16,17,25,20,21,22,23,0,24,297
1,2,3,6,4,7,9,0,16,10,13,14,17,0,15,18,25,0,21,11,24,22,20,23,12,419
0,4,10,5,1,8,3,0,6,7,0,9,0,11,12,13,15,16,17,19,20,21,22,23,24,45
1,2,3,4,5,6,8,9,11,12,13,14,20,16,18,25,19,0,17,23,0,0,21,0,22,182
1,5,7,0,8,4,6,0,3,11,9,10,2,12,13,14,15,16,17,18,19,20,22,24,25,80
1,2,3,5,7,8,9,10,11,12,13,14,15,16,17,0,19,0,25,21,23,18,20,24,22,235
4,6,5,1,3,0,0,11,7,9,16,15,13,14,0,10,17,12,18,19,20,21,22,24,25,176
1,7,2,4,5,6,0,3,9,10,11,13,14,8,0,18,19,20,15,16,24,0,25,21,23,166
9,5,13,8,6,14,4,0,11,0,19,10,2,1,12,20,0,16,17,18,15,21,0,22,23,320
1,2,4,5,6,8,0,9,10,12,15,16,18,11,19,0,20,0,25,23,13,21,0,22,24,337
2,0,5,0,8,3,6,1,0,13,9,10,11,12,0,16,17,18,19,20,21,22,23,24,25,46
2,3,4,0,5,1,6,7,8,10,0,0,13,9,15,11,17,12,14,22,0,25,20,18,23,250
4,1,2,3,8,9,5,6,7,0,16,10,11,13,14,21,17,18,19,20,22,0,23,24,25,86
