0,0,8,7,5,0,3,9,6,71
4,7,0,8,9,6,0,1,0,58
0,3,1,2,0,4,7,8,9,3
1,3,4,6,7,8,0,9,0,9
0,0,3,1,0,5,7,8,9,6
1,0,4,5,3,7,0,6,0,9
0,2,3,4,1,6,0,5,0,15
1,2,3,4,0,0,7,0,8,17
2,9,0,3,1,0,7,8,5,49
1,3,0,0,5,6,8,7,4,33
0,2,9,4,5,8,7,0,0,47
2,5,0,0,0,4,6,7,8,16
3,4,0,6,5,2,0,8,9,20
1,3,4,0,5,7,9,0,6,17
1,3,4,5,7,0,0,0,9,9
1,4,5,0,7,0,0,8,9,24
2,3,1,7,8,4,0,0,9,20
5,0,3,1,4,2,8,6,0,41
3,4,1,0,8,5,7,9,0,24
2,3,4,0,0,8,9,5,7,24
0,0,6,0,1,2,3,5,8,41
0,2,0,1,0,3,8,9,5,47
3,1,0,2,4,8,5,0,7,26
0,2,3,6,8,0,9,7,4,28
2,0,4,6,1,9,7,3,0,33
4,0,0,2,1,3,9,7,8,28
2,0,1,0,3,4,5,6,8,2
1,2,3,5,7,8,0,9,0,9
3,0,4,7,5,0,6,0,9,30
7,4,2,3,0,0,0,5,9,43
1,0,0,0,3,4,6,7,9,1
1,3,4,5,6,0,0,0,9,9
5,0,4,2,0,6,8,9,3,71
1,0,0,5,4,3,9,6,8,28
5,0,1,4,8,6,7,0,9,18
1,3,4,5,0,7,9,6,0,6
1,3,5,6,7,8,0,0,0,0
0,2,5,1,0,8,6,0,7,21
0,2,1,3,6,0,7,8,9,13
3,0,4,1,0,7,5,9,6,30
2,1,5,0,8,7,6,0,3,44
2,5,4,0,1,0,8,7,6,40
7,2,1,0,3,4,8,0,9,26
2,0,3,1,8,6,5,0,9,52
5,2,8,7,0,0,9,6,0,75
0,2,0,8,6,3,9,0,5,58
4,5,3,0,0,0,8,6,9,53
0,1,4,0,3,0,6,5,7,33
3,2,5,6,4,0,0,7,8,16
1,2,3,4,5,0,0,8,7,15
3,0,6,1,7,4,0,8,9,36
2,3,5,6,9,7,0,0,8,33
0,1,3,7,4,0,0,5,8,31
0,1,3,0,0,6,8,7,9,37
3,2,4,0,8,0,5,0,9,22
1,2,0,8,9,3,0,0,4,32
6,2,4,8,3,9,0,0,0,35
0,2,4,1,6,8,0,0,9,24
3,2,0,4,0,5,6,7,8,9
2,3,4,0,5,0,9,6,7,18
0,0,1,6,8,5,0,3,9,38
0,3,5,1,8,9,0,0,6,19
0,2,1,3,0,5,6,7,8,7
1,3,4,0,5,0,9,6,7,18
4,0,0,5,6,1,7,8,9,16
3,0,5,1,9,4,6,7,0,51
1,0,4,5,0,9,6,2,3,40
3,0,8,1,9,5,7,4,0,70
0,1,2,9,0,5,0,6,7,52
0,2,3,9,0,6,8,4,0,71
6,1,5,0,0,3,7,2,9,32
3,4,6,5,0,2,9,0,8,53
3,1,0,2,4,9,5,0,8,28
4,1,3,0,7,2,9,5,0,45
3,4,1,0,6,5,7,0,9,26
0,3,4,5,0,7,1,6,8,34
0,3,5,1,0,8,6,0,2,43
1,0,7,0,4,2,5,0,6,35
0,2,4,0,1,9,6,0,7,22
0,1,0,4,0,8,5,6,2,42
0,0,4,3,0,1,5,7,9,11
0,1,3,6,2,0,0,4,8,25
6,2,1,3,8,4,0,0,7,56
1,7,3,6,4,0,0,9,8,35
5,0,1,2,3,0,6,8,4,38
9,1,3,0,4,0,6,5,7,59
