3,0,4,6,8,10,0,5,13,9,0,12,14,0,15,16,77
1,0,3,5,6,0,9,10,11,0,2,16,12,0,7,13,77
0,1,0,4,5,6,7,8,9,10,11,12,13,14,15,16,1
1,2,3,4,5,6,7,8,9,10,11,12,13,0,15,0,15
3,0,6,0,5,10,0,7,8,9,11,0,12,13,14,16,45
1,3,4,5,0,0,9,10,6,8,11,15,0,13,14,0,63
4,1,2,7,0,8,6,0,9,5,10,11,12,14,15,16,44
1,3,4,5,7,12,8,9,6,0,0,13,14,10,11,15,109
3,0,5,2,7,4,0,6,0,8,10,11,12,13,14,15,15
2,0,5,6,7,4,9,10,11,8,13,14,16,12,0,0,24
0,5,2,3,4,9,6,7,12,8,10,11,13,14,15,0,76
1,3,4,5,6,8,9,10,0,12,13,14,11,15,16,0,42
0,0,3,0,1,2,8,4,6,7,0,9,10,13,14,16,11
3,4,5,6,7,10,11,12,13,0,15,16,14,0,0,0,28
2,0,0,0,0,1,3,4,5,8,9,10,11,12,13,16,5
1,2,3,4,7,0,8,12,13,11,0,16,0,14,15,0,59
0,4,0,0,2,0,5,7,8,9,10,11,12,14,15,16,4
1,4,5,6,7,9,11,12,0,14,15,16,13,0,0,0,13
1,5,0,2,4,0,6,7,8,9,10,12,13,14,15,16,7
1,2,3,4,5,6,7,0,9,10,0,8,14,15,12,13,33
0,3,4,0,2,0,0,5,6,7,8,9,10,12,13,15,7
1,5,9,6,7,0,0,10,11,4,13,15,0,8,14,0,65
3,1,0,0,2,4,5,0,6,8,9,12,13,14,15,16,17
1,3,4,5,0,7,8,10,6,12,0,15,11,16,13,0,46
2,3,1,0,8,4,0,5,0,9,10,11,12,13,14,15,18
1,2,3,4,5,6,7,9,11,0,0,0,16,13,15,14,71
1,3,6,0,0,7,0,4,8,0,10,12,13,14,15,16,42
1,2,4,5,8,0,9,10,6,11,16,15,0,13,0,0,99
4,2,6,3,8,5,0,7,12,9,10,11,0,14,15,16,32
1,2,3,5,6,7,8,9,10,0,12,0,14,11,15,13,39
3,8,1,5,2,0,4,0,6,0,9,10,12,13,15,16,28
1,2,3,0,5,6,8,4,10,13,9,0,0,16,11,15,88
2,3,5,0,6,7,4,0,12,9,0,10,0,13,14,15,49
1,2,3,4,5,0,9,11,8,0,14,0,13,0,15,16,71
0,0,3,0,1,6,2,4,5,0,8,9,12,13,15,16,11
1,2,4,6,7,8,9,10,13,0,0,15,0,14,0,16,45
0,1,0,0,4,8,5,6,7,9,0,11,12,13,15,16,23
